No.,発行元,発行元Prefix,管理用ID,年,BOX/シリーズ,BOX/シリーズPrefix,Distribution,カード番号,選手名,チーム名,種別,パラレル/オート,Base / Inserts,シリアルNo.,枚数,状態,ステータス,購入日,購入価格,メモ
242,Topps,tp,tp_2025_US_#U90-29,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#U90-29,Ernie Banks,Chicago Cubs,,,1990 TOPPS BASEBALL,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
243,Topps,tp,tp_2025_US_#U90-35,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#U90-35,Matt Shaw,Chicago Cubs,RC,,1990 TOPPS BASEBALL,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
244,Topps,tp,tp_2025_US_#U90-49,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#U90-49,Max Muncy,Athletics,RC,,1990 TOPPS BASEBALL,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
245,Topps,tp,tp_2025_US_#U90-50,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#U90-50,Chase Dollander,Colorado Rockies,RC,,1990 TOPPS BASEBALL,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
257,Topps,tp,tp_2025_US_#U90C-12,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#U90C-12,Paul Goldschmidt,New York Yankees,,,1990 TOPPS BASEBALL CHROME CARDS,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
258,Topps,tp,tp_2025_US_#U90C-19,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#U90C-19,Fernando Tatis Jr.,San Diego Padres,,,1990 TOPPS BASEBALL CHROME CARDS,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
259,Topps,tp,tp_2025_US_#U90C-25,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#U90C-25,Bobby Witt JR.,Kansas City Royals,,,1990 TOPPS BASEBALL CHROME CARDS,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
256,Topps,tp,tp_2025_US_#U90C-29,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#U90C-29,Justin Verlander,San Francisco Giants,,,1990 TOPPS BASEBALL CHROME CARDS,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
155,Topps,tp,tp_2025_US_#US001,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US001,Kristian Campbell,Boston Red Sox,RC,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
,Topps,tp,tp_2025_US_#US002,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US002,,,,,base,,,,,,,
150,Topps,tp,tp_2025_US_#US003,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US003,Jamie Westbrook,Tampa Bay Rays,RC,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
,Topps,tp,tp_2025_US_#US004,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US004,,,,,base,,,,,,,
127,Topps,tp,tp_2025_US_#US005,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US005,Jeff Criswell,Colorado Rockies,RC,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
86,Topps,tp,tp_2025_US_#US006,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US006,Levi Jordan,Cincinnati Reds,RC,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
,Topps,tp,tp_2025_US_#US007,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US007,,,,,base,,,,,,,
128,Topps,tp,tp_2025_US_#US008,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US008,Tanner Gordon,Colorado Rockies,RC,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
139,Topps,tp,tp_2025_US_#US009,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US009,Jeff Hoffman,Toronto Blue Jays,,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
