No.,発行元,発行元Prefix,管理用ID,年,BOX/シリーズ,BOX/シリーズPrefix,Distribution,カード番号,選手名,チーム名,種別,パラレル/オート,Base / Inserts,シリアルNo.,枚数,状態,ステータス,購入日,購入価格,メモ
112,Topps,tp,tp_2025_US_#US199,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US199,Roki Sasaki,Los Angeles Dodgers,RC,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
,Topps,tp,tp_2025_US_#US200,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US200,,,,,base,,,,,,,
,Topps,tp,tp_2025_US_#US201,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US201,,,,,base,,,,,,,
,Topps,tp,tp_2025_US_#US202,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US202,,,,,base,,,,,,,
,Topps,tp,tp_2025_US_#US203,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US203,,,,,base,,,,,,,
77,Topps,tp,tp_2025_US_#US204,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US204,Alexander Canario,Pittsburgh Pirates,,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
228,Topps,tp,tp_2025_US_#US205,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US205,Blaine Crim,Texas Rangers,,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
164,Topps,tp,tp_2025_US_#US206,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US206,Gabriel Arias,Cleveland Guardians,,,base,,2,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
229,Topps,tp,tp_2025_US_#US207,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US207,Kyle Higashioka,Texas Rangers,,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
175,Topps,tp,tp_2025_US_#US208,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US208,Kody Clemens,Minnesota Twins,,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
190,Topps,tp,tp_2025_US_#US209,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US209,"MJ Melendez, Bobby Witt Jr.",Kansas City Royals,CC,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
135,Topps,tp,tp_2025_US_#US210,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US210,Yaramil Hiraldo,Baltimore Orioles,RC,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
,Topps,tp,tp_2025_US_#US211,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US211,,,,,base,,,,,,,
152,Topps,tp,tp_2025_US_#US212,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US212,Eric Orze,Tampa Bay Rays,RC,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
204,Topps,tp,tp_2025_US_#US213,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US213,Logan Davidson,Athletics,RC,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
67,Topps,tp,tp_2025_US_#US214,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US214,Cade Horton,Chicago Cubs,RC,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
,Topps,tp,tp_2025_US_#US215,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US215,,,,,base,,,,,,,
44,Topps,tp,tp_2025_US_#US216,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US216,Naithan Wiles,Atlanta Braves,RC,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
121,Topps,tp,tp_2025_US_#US217,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US217,Fernando Tatis Jr.,San Diego Padres,SHC,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
35,Topps,tp,tp_2025_US_#US218,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US218,James Wood,Washington Nationals,RC,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
,Topps,tp,tp_2025_US_#US219,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US219,,,,,base,,,,,,,
,Topps,tp,tp_2025_US_#US220,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US220,,,,,base,,,,,,,
,Topps,tp,tp_2025_US_#US221,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US221,,,,,base,,,,,,,
,Topps,tp,tp_2025_US_#US222,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US222,,,,,base,,,,,,,
,Topps,tp,tp_2025_US_#US223,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US223,,,,,base,,,,,,,
,Topps,tp,tp_2025_US_#US224,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US224,,,,,base,,,,,,,
122,Topps,tp,tp_2025_US_#US225,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US225,Gavin Sheets,San Diego Padres,,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
220,Topps,tp,tp_2025_US_#US226,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US226,Tayler Saucedo,Seattle Mariners,,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
230,Topps,tp,tp_2025_US_#US227,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US227,Marc Church,Texas Rangers,RC,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
51,Topps,tp,tp_2025_US_#US228,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US228,Dane Myers,Miami Marlins,,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
,Topps,tp,tp_2025_US_#US229,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US229,,,,,base,,,,,,,
,Topps,tp,tp_2025_US_#US230,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US230,,,,,base,,,,,,,
153,Topps,tp,tp_2025_US_#US231,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US231,Hunter Bigge,Tampa Bay Rays,RC,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
235,Topps,tp,tp_2025_US_#US232,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US232,Juan Morillo,Arizona Diamondbacks,RC,Rainbow,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
,Topps,tp,tp_2025_US_#US233,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US233,,,,,base,,,,,,,
148,Topps,tp,tp_2025_US_#US234,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US234,Bryan De La Cruz,New York Yankees,,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
,Topps,tp,tp_2025_US_#US235,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US235,,,,,base,,,,,,,
,Topps,tp,tp_2025_US_#US236,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US236,,,,,base,,,,,,,
,Topps,tp,tp_2025_US_#US237,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US237,,,,,base,,,,,,,
,Topps,tp,tp_2025_US_#US238,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US238,,,,,base,,,,,,,
113,Topps,tp,tp_2025_US_#US239,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US239,Alex Vesia,Los Angeles Dodgers,,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
103,Topps,tp,tp_2025_US_#US240,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US240,Randy Rodriguez,San Francisco Giants,,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
,Topps,tp,tp_2025_US_#US241,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US241,,,,,base,,,,,,,
136,Topps,tp,tp_2025_US_#US242,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US242,Charlie Morton,Baltimore Orioles,,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
,Topps,tp,tp_2025_US_#US243,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US243,,,,,base,,,,,,,
,Topps,tp,tp_2025_US_#US244,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US244,,,,,base,,,,,,,
58,Topps,tp,tp_2025_US_#US245,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US245,Clay Holmes,New York Mets,,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
,Topps,tp,tp_2025_US_#US246,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US246,,,,,base,,,,,,,
173,Topps,tp,tp_2025_US_#US247,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US247,Tyler Owens,Detroit Tigers,RC,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
68,Topps,tp,tp_2025_US_#US248,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US248,Justin Steele,Chicago Cubs,,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
,Topps,tp,tp_2025_US_#US249,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US249,,,,,base,,,,,,,
205,Topps,tp,tp_2025_US_#US250,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US250,Max Muncy,Athletics,RC,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
143,Topps,tp,tp_2025_US_#US251,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US251,Alan Roden,Toronto Blue Jays,RC,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
,Topps,tp,tp_2025_US_#US252,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US252,,,,,base,,,,,,,
181,Topps,tp,tp_2025_US_#US253,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US253,Caleb Freeman,Chicago White Sox,RC,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
206,Topps,tp,tp_2025_US_#US254,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US254,Gunnar Hoglund,Athletics,RC,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
165,Topps,tp,tp_2025_US_#US255,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US255,Will Wilson,Cleveland Guardians,RC,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
114,Topps,tp,tp_2025_US_#US256,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US256,Dalton Rushing,Los Angeles Dodgers,RC,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
,Topps,tp,tp_2025_US_#US257,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US257,,,,,base,,,,,,,
149,Topps,tp,tp_2025_US_#US258,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US258,Jorbit Vivas,New York Yankees,RC,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
,Topps,tp,tp_2025_US_#US259,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US259,,,,,base,,,,,,,
,Topps,tp,tp_2025_US_#US260,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US260,,,,,base,,,,,,,
84,Topps,tp,tp_2025_US_#US261,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US261,Craig Yoho,Milwaukee Brewers,RC,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
69,Topps,tp,tp_2025_US_#US262,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US262,Moises Ballesteros,Chicago Cubs,RC,,base,,2,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
123,Topps,tp,tp_2025_US_#US263,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US263,Jeremiah Estrada,San Diego Padres,,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
231,Topps,tp,tp_2025_US_#US264,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US264,Kumar Docker,Texas Rangers,RC,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
,Topps,tp,tp_2025_US_#US265,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US265,,,,,base,,,,,,,
78,Topps,tp,tp_2025_US_#US266,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US266,Tommy Pham,Pittsburgh Pirates,,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
,Topps,tp,tp_2025_US_#US267,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US267,,,,,base,,,,,,,
176,Topps,tp,tp_2025_US_#US268,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US268,Ty France,Minnesota Twins,,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
115,Topps,tp,tp_2025_US_#US269,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US269,"Shohei Ohtani, Roki Sasaki",Los Angeles Dodgers,CC,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
,Topps,tp,tp_2025_US_#US270,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US270,,,,,base,,,,,,,
59,Topps,tp,tp_2025_US_#US271,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US271,Tylor Megill,New York Mets,,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
,Topps,tp,tp_2025_US_#US272,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US272,,,,,base,,,,,,,
79,Topps,tp,tp_2025_US_#US273,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US273,Thomas Harrington,Pittsburgh Pirates,RC,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
137,Topps,tp,tp_2025_US_#US274,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US274,Maverick Handley,Baltimore Orioles,RC,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
91,Topps,tp,tp_2025_US_#US275,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US275,Chase Petty,Cincinnati Reds,RC,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
,Topps,tp,tp_2025_US_#US276,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US276,,,,,base,,,,,,,
,Topps,tp,tp_2025_US_#US277,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US277,,,,,base,,,,,,,
182,Topps,tp,tp_2025_US_#US278,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US278,Shane Smith,Chicago White Sox,RC,,base,,2,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
177,Topps,tp,tp_2025_US_#US279,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US279,Carson McCusker,Minnesota Twins,RC,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
92,Topps,tp,tp_2025_US_#US280,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US280,Evan Kravetz,Cincinnati Reds,RC,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
,Topps,tp,tp_2025_US_#US281,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US281,,,,,base,,,,,,,
138,Topps,tp,tp_2025_US_#US282,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US282,Coby Mayo,Baltimore Orioles,RC,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
207,Topps,tp,tp_2025_US_#US283,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US283,Jeffrey Springs,Athletics,,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
166,Topps,tp,tp_2025_US_#US284,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US284,Erik Sabrowski,Cleveland Guardians,RC,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
130,Topps,tp,tp_2025_US_#US285,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US285,Juan Mejia,Colorado Rockies,RC,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
,Topps,tp,tp_2025_US_#US286,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US286,,,,,base,,,,,,,
,Topps,tp,tp_2025_US_#US287,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US287,,,,,base,,,,,,,
,Topps,tp,tp_2025_US_#US288,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US288,,,,,base,,,,,,,
,Topps,tp,tp_2025_US_#US289,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US289,,,,,base,,,,,,,
,Topps,tp,tp_2025_US_#US290,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US290,,,,,base,,,,,,,
,Topps,tp,tp_2025_US_#US291,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US291,,,,,base,,,,,,,
,Topps,tp,tp_2025_US_#US292,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US292,,,,,base,,,,,,,
,Topps,tp,tp_2025_US_#US293,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US293,,,,,base,,,,,,,
,Topps,tp,tp_2025_US_#US294,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US294,,,,,base,,,,,,,
124,Topps,tp,tp_2025_US_#US295,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US295,Ryan Bergert,San Diego Padres,RC,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
,Topps,tp,tp_2025_US_#US296,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US296,,,,,base,,,,,,,
60,Topps,tp,tp_2025_US_#US297,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US297,Luis Torrens,New York Mets,,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
196,Topps,tp,tp_2025_US_#US298,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US298,Cam Smith,Houston Astros,RC,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
,Topps,tp,tp_2025_US_#US299,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US299,,,,,base,,,,,,,
104,Topps,tp,tp_2025_US_#US300,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US300,Rafael Devers,San Francisco Giants,,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
125,Topps,tp,tp_2025_US_#US301,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US301,Kyle Hart,San Diego Padres,RC,,base,,2,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
236,Topps,tp,tp_2025_US_#US301,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US301,Kyle Hart,San Diego Padres,RC,Gold,base,1544/2025,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
221,Topps,tp,tp_2025_US_#US302,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US302,Logan Evans,Seattle Mariners,RC,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
,Topps,tp,tp_2025_US_#US303,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US303,,,,,base,,,,,,,
232,Topps,tp,tp_2025_US_#US304,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US304,Daniel Robert,Texas Rangers,RC,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
52,Topps,tp,tp_2025_US_#US305,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US305,Derek Hill,Miami Marlins,,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
,Topps,tp,tp_2025_US_#US306,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US306,,,,,base,,,,,,,
237,Topps,tp,tp_2025_US_#US307,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US307,Chad Patrick,Milwaukee Brewers,RC,Purple Holo,base,006/250,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
178,Topps,tp,tp_2025_US_#US308,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US308,Ryan Fitzgerald,Minnesota Twins,RC,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
238,Topps,tp,tp_2025_US_#US309,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US309,"Dansby Swanson, Matt Shaw",Chicago Cubs,CC,Rainbow,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
,Topps,tp,tp_2025_US_#US310,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US310,,,,,base,,,,,,,
233,Topps,tp,tp_2025_US_#US311,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US311,Kevin Pillar,Texas Rangers,,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
116,Topps,tp,tp_2025_US_#US312,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US312,Hyeseong Kim,Los Angeles Dodgers,RC,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
222,Topps,tp,tp_2025_US_#US313,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US313,Miles Mastrobuoni,Seattle Mariners,,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
214,Topps,tp,tp_2025_US_#US314,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US314,Matthew Lugo,Los Angeles Angels,RC,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
93,Topps,tp,tp_2025_US_#US315,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US315,Tyler Callihan,Cincinnati Reds,RC,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
154,Topps,tp,tp_2025_US_#US316,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US316,Drew Rasmussen,Tampa Bay Rays,,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
,Topps,tp,tp_2025_US_#US317,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US317,,,,,base,,,,,,,
94,Topps,tp,tp_2025_US_#US318,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US318,Rhett Lowder,Cincinnati Reds,RC,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
,Topps,tp,tp_2025_US_#US319,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US319,,,,,base,,,,,,,
,Topps,tp,tp_2025_US_#US320,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US320,,,,,base,,,,,,,
,Topps,tp,tp_2025_US_#US321,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US321,,,,,base,,,,,,,
,Topps,tp,tp_2025_US_#US322,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US322,,,,,base,,,,,,,
197,Topps,tp,tp_2025_US_#US323,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US323,Luis Contreras,Houston Astros,RC,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
,Topps,tp,tp_2025_US_#US324,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US324,,,,,base,,,,,,,
183,Topps,tp,tp_2025_US_#US325,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US325,Edgar Quero,Chicago White Sox,RC,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
85,Topps,tp,tp_2025_US_#US326,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US326,James Meeker,Milwaukee Brewers,RC,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
,Topps,tp,tp_2025_US_#US327,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US327,,,,,base,,,,,,,
105,Topps,tp,tp_2025_US_#US328,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US328,Camilo Doval,San Francisco Giants,,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
234,Topps,tp,tp_2025_US_#US329,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US329,Robert Garcia,Texas Rangers,,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
,Topps,tp,tp_2025_US_#US330,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US330,,,,,base,,,,,,,
95,Topps,tp,tp_2025_US_#US331,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US331,"Elly De La Cruz, Matt McLain",Cincinnati Reds,CC,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
53,Topps,tp,tp_2025_US_#US332,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US332,Agustin Ramirez,Miami Marlins,RC,,base,,2,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
,Topps,tp,tp_2025_US_#US333,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US333,,,,,base,,,,,,,
208,Topps,tp,tp_2025_US_#US334,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US334,Luis Urias,Athletics,,,base,,2,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
70,Topps,tp,tp_2025_US_#US335,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US335,Colin Rea,Chicago Cubs,,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
,Topps,tp,tp_2025_US_#US336,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US336,,,,,base,,,,,,,
184,Topps,tp,tp_2025_US_#US337,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US337,Chase Meidroth,Chicago White Sox,RC,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
